BUSINESS_NAME,OFFICE_ADDRESS1,OFFICE_ADDRESS2,OFFICE_CITY,OFFICE_STATE,OFFICE_ZIPCODE,OFFICE_TELEPHONE,OFFICE_WEBSITE,ADVISOR_NAME,ADVISOR_EMAIL,ADVISOR_ID
"R.G. NIEDERHOFFER CAPITAL MANAGEMENT, INC.",1700 BROADWAY,FLOOR 39,NEW YORK,NY,10019,2122450400,WWW.NIEDERHOFFER.COM,Stephen Soucek,Stephen.Soucek@NIEDERHOFFER.COM,137788
SEA HUNTER CAPITAL,1300 ELIZABETH AVENUE,,WEST PALM BEACH,FL,33401,5612083833,SEAHUNTERCAPITAL.COM,Hector Valdez,Hector.Valdez@SEAHUNTERCAPITAL.COM,287710
"INGRAM ADVISORY SERVICES, LLC",799 OVERLOOK DRIVE,,WINTER HAVEN,FL,33884,8633269833,WWW.INGRAMFINANCIALGROUP.COM/,Lenord Dye,Lenord.Dye@INGRAMFINANCIALGROUP.COM/,123508
VISION CAPITAL & MANAGEMENT,108 SOUTH MAIN STREET,SUITE B,DAVIDSON,NC,28036,7048949639,WWW.VISIONCAPITALMGT.COM,Ernesto Vega,Ernesto.Vega@VISIONCAPITALMGT.COM,118363
"LEGACY WEALTH MANAGEMENT, LLC",13965 W. CHINDEN BLVD.,SUITE 100,BOISE,ID,83713,2089550500,WWW.LEGACYWEALTHMG.COM,Thomas Lay,Thomas.Lay@LEGACYWEALTHMG.COM,174767
"GARRISON POINT ADVISORS, LLC",1277 TREAT BLVD,SUITE 950,WALNUT CREEK,CA,94597,4158871408,GARPC.COM/,Rafael Macias,Rafael.Macias@GARPC.COM/,292016
"SFI ADVISORS, LLC",79 MIDLAND AVE.,,MONTCLAIR,NJ,07042,9737441014,SFIADVISORS.COM/,Gabriel Valdez,Gabriel.Valdez@SFIADVISORS.COM/,287929
WINANS INVESTMENTS,504 REDWOOD BLVD.,SUITE 320,NOVATO,CA,94947,4155063070,WWW.WINANSINVESTMENTS.COM,Ciriaco Rodriguez,Ciriaco.Rodriguez@WINANSINVESTMENTS.COM,107125
"ENDOWMENT WEALTH MANAGEMENT, INC.",2200 NORTH RICHMOND STREET,SUITE 200,APPLETON,WI,54911,9207856010,WWW.ENDOWMENTWM.COM/,Daniel Realzola,Daniel.Realzola@ENDOWMENTWM.COM/,108652
"CRUDEN BAY INVESTMENT MANAGEMENT, LLC",2945 TOWNSGATE ROAD,SUITE 200,WESTLAKE VILLAGE,CA,91361,8057192771,WWW.CBAYINVESTMENTS.COM,Mark Mayfield,Mark.Mayfield@CBAYINVESTMENTS.COM,284787
"TRADEMARK FINANCIAL MANAGEMENT, LLC",7301 OHMS LANE,#535,EDINA,MN,55439,9523583395,WWW.TRADEMARKFINANCIAL.US,Robert Madrid,Robert.Madrid@TRADEMARKFINANCIAL.US,116543
"ONE CAPITAL MANAGEMENT, LLC",3075 TOWNSGATE ROAD,SUITE 350,WESTLAKE VILLAGE,CA,91361,8054098150,WWW.OCMADVANCEDPLANNING.COM,Michael Hahn,Michael.Hahn@OCMADVANCEDPLANNING.COM,114861
"KOPERNIK GLOBAL INVESTORS, LLC",TWO  HARBOUR PLACE,"302 KNIGHTS RUN AVENUE, SUITE 1225",TAMPA,FL,33602,8133146100,WWW.KOPERNIKGLOBAL.COM,John Mendoza,John.Mendoza@KOPERNIKGLOBAL.COM,168625
"TOTAL CLARITY WEALTH MANAGEMENT, INC",525 TYLER RD,SUITE T,ST. CHARLES,IL,60174,6307629352,WWW.WSFA.NET,John Slee,John.Slee@WSFA.NET,142728
HERMES GPE (USA) INC,55 5TH AVENUE,SUITE 1306,NEW YORK,NY,10003,3475929988,WWW.HERMESGPE.COM,Billy Bay Jr,Billy.Bay Jr@HERMESGPE.COM,166839
"FUHRMAN MANAGEMENT ASSOCIATES, INC.",512 S. BETHLEHEM PIKE,,FORT WASHINGTON,PA,19034,2156194000,WWW.INVESTAB.COM,David Mick,David.Mick@INVESTAB.COM,121193
PARKER GLOBAL STRATEGIES LLC,9 WEST BROAD STREET,SUITE 300,STAMFORD,CT,06902,2033584000,WWW.PARKERGLOBAL.COM,Darryl Pennington,Darryl.Pennington@PARKERGLOBAL.COM,107572
MILLBURN RIDGEFIELD CORPORATION,411 WEST PUTNAM AVENUE,SUITE 305,GREENWICH,CT,06830,2036257554,WWW.MILLBURNCORP.COM,Floyd Huggins,Floyd.Huggins@MILLBURNCORP.COM,119077
"ZEVIN ASSET MANAGEMENT, LLC",2 OLIVER STREET,SUITE 806,BOSTON,MA,02109,6177426666,WWW.ZEVIN.COM,William Buikema,William.Buikema@ZEVIN.COM,165269
CONCORDE INVESTMENT MANAGEMENT,8383 PRESTON CENTER PLAZA DRIVE,SUITE 360,DALLAS,TX,75225,9727015400,WWW.CONCORDECO.COM,Johnny Maez,Johnny.Maez@CONCORDECO.COM,105237
"ZEBRA ADVISORS, LLC",2187 ATLANTIC STREET,4TH FLOOR,STAMFORD,CT,06902,2037015900,WWW.ZEBRACAPITAL.COM,Garry Wagner,Garry.Wagner@ZEBRACAPITAL.COM,126286
"ZEBRA CAPITAL MANAGEMENT, LLC",2187 ATLANTIC STREET,4TH FLOOR,STAMFORD,CT,06902,2037015900,WWW.ZEBRACAPITAL.COM,Cheryl Swaffar,Cheryl.Swaffar@ZEBRACAPITAL.COM,126285
"CAPWEALTH INSIGHTS, LLC",3000 MERIDIAN BLVD,SUITE 250,FRANKLIN,TN,37067,6157780740,WWW.CAPWEALTHINSIGHTS.COM,Bruce Ernst,Bruce.Ernst@CAPWEALTHINSIGHTS.COM,168798
BENTALL KENNEDY (U.S.) LP,1201 THIRD AVENUE,SUITE 3000,SEATTLE,WA,98101,2066234739,WWW.BENTALLKENNEDY.COM,Nicholas Scharrer Sr,Nicholas.Scharrer Sr@BENTALLKENNEDY.COM,111470
INTEGRA CAPITAL ADVISORS,1001 THIRD AVE WEST,SUITE 450,BRADENTON,FL,34205,9417781900,INTEGRACAPITALADVISORS.COM,Ivan Dever,Ivan.Dever@INTEGRACAPITALADVISORS.COM,108976
"VIRTUS INVESTMENT ADVISERS, INC.",100 PEARL STREET,9TH FLOOR,HARTFORD,CT,06103,8002487971,WWW.VIRTUS.COM/,Jonathan LaCrue,Jonathan.LaCrue@VIRTUS.COM/,106982
PIPER JAFFRAY & CO.,800 NICOLLET MALL,SUITE 1000,MINNEAPOLIS,MN,55402-7020,6123036000,WWW.PIPERJAFFRAY.COM,Marcel Hearlson,Marcel.Hearlson@PIPERJAFFRAY.COM,665
"LIFEPLAN FINANCIAL GROUP, INC.",10050 INNOVATION DRIVE,SUITE 140,MIAMISBURG,OH,45342,9374388000,WWW.LIFEPLANFG.COM,Wyatt Flanders,Wyatt.Flanders@LIFEPLANFG.COM,121376
"SPARI, INC.",1011 POYNTZ AVENUE,,MANHATTAN,KS,66502,7855370366,WWW.SPARI.INFO/,Manuel Martinez,Manuel.Martinez@SPARI.INFO/,226780
"OC PRIVATE CAPITAL, LLC",225 LIBERTY STREET,,NEW YORK,NY,10281,2123230200,WWW.OPPENHEIMERFUNDSCARLYLEJV.COM/,Arturo Castillo,Arturo.Castillo@OPPENHEIMERFUNDSCARLYLEJV.COM/,290619
FINANCIAL DESIGNS CORPORATION,540 W. BASELINE RD,#10,CLAREMONT,CA,91711-5805,9096261642,WWW.FINANCIALDESIGNSCORP.COM,Daniel Cabeza De Vaca,Daniel.Cabeza De Vaca@FINANCIALDESIGNSCORP.COM,14829
OPPENHEIMERFUNDS INC,"225 LIBERTY STREET, 11TH FLOOR",,NEW YORK,NY,10281-1008,2123230200,WWW.OPPENHEIMERFUNDS.COM,Juan Macias,Juan.Macias@OPPENHEIMERFUNDS.COM,104983
RECURRENT INVESTMENT ADVISORS LLC,3801 KIRBY DRIVE,SUITE 654,HOUSTON,TX,77098-4100,8322415900,WWW.RECURRENTADVISORS.COM/,Jose Macias Gutierrez,Jose.Macias Gutierrez@RECURRENTADVISORS.COM/,288694
CITIGROUP GLOBAL MARKETS INC.,388 GREENWICH STREET,,NEW YORK,NY,10013,2128166000,WWW.INTERNATIONALPERSONALBANKING.CITI.COM,Martin Veleta,Martin.Veleta@INTERNATIONALPERSONALBANKING.CITI.COM,7059
MORGAN STANLEY,2000 WESTCHESTER AVENUE,,PURCHASE,NY,10577-2530,9142255510,WWW.MORGANSTANLEYCLIENTSERV.COM,Jose Oliva-Zambrano,Jose.Oliva-Zambrano@MORGANSTANLEYCLIENTSERV.COM,149777
CONCORD ADVISORY GROUP LTD,700 ALEXANDER PARK,SUITE 203 & 202,PRINCETON,NJ,08540,6099879000,WWW.CONCORDADVISORY.COM,James Reedy,James.Reedy@CONCORDADVISORY.COM,107291
INVESTMENT PERFORMANCE SERVICES LLC,570 EAST YORK STREET,,SAVANNAH,GA,31401,9123522862,WWW.IPS-NET.COM,Christopher Martinez,Christopher.Martinez@IPS-NET.COM,105527
EASTSPRING US,225 WEST WACKER DRIVE,SUITE 1200,CHICAGO,IL,60606,3127309530,EASTSPRINGINVESTMENTS.COM,Kenneth Drummond,Kenneth.Drummond@EASTSPRINGINVESTMENTS.COM,169439
"FINANCIAL SOLUTIONS, LLC",1900 AIRPORT ROAD,SUITE A,WAUKESHA,WI,53188,2625425200,WWW.FSPLANNERS.COM,Mark Hightower,Mark.Hightower@FSPLANNERS.COM,110149
"CARPENTER, CLAYDON ADVISORS, INC.",341 N.MAITLAND AVENUE,SUITE 340,MAITLAND,FL,32751,4078430316,WWW.CCAWEALTH.COM,Fabian Alexander,Fabian.Alexander@CCAWEALTH.COM,143516
"CULLEN, PATTERSON CAPITAL MANAGEMENT, LLC",3487 WONDER VIEW PLACE,,LOS ANGELES,CA,90068,3238517308,WWW.CPCM-LLC.COM,Charles Dasilva,Charles.Dasilva@CPCM-LLC.COM,167195
"FDX ADVISORS, INC.","2399 GATEWAY OAKS DRIVE, SUITE 200",,SACRAMENTO,CA,95833,9162886400,FOLIODYNAMIX.COM/,Douglas Klingenberger,Douglas.Klingenberger@FOLIODYNAMIX.COM/,104601
"MML INVESTORS SERVICES, LLC",1295 STATE STREET,,SPRINGFIELD,MA,01111-0001,4137378400,WWW.MMLINVESTORS.COM,John Armstrong,John.Armstrong@MMLINVESTORS.COM,10409
"DT INVESTMENT PARTNERS, LLC",BRANDYWINE FIVE,"1 DICKINSON DRIVE, SUITE 105",CHADDS FORD,PA,19317-9665,4847784425,WWW.DTINVESTMENTPARTNERS.COM,Ken Wooldridge,Ken.Wooldridge@DTINVESTMENTPARTNERS.COM,157646
SPECTRUM FINANCIAL INC,"2940 N LYNNHAVEN ROAD, SUITE 200",,VIRGINIA BEACH,VA,23452,7574637600,INVESTSPECTRUM.COM,Dominic Cruz,Dominic.Cruz@INVESTSPECTRUM.COM,105618
CALAMOS WEALTH MANAGEMENT LLC,2020 CALAMOS COURT,,NAPERVILLE,IL,60563-2787,6302457200,WWW.CALAMOS.COM,David Gonzalez,David.Gonzalez@CALAMOS.COM,143490
BRAZOS CAPITAL,200 CONGRESS AVENUE,SUITE 902,AUSTIN,TX,78701,5128270826,WWW.BRAZOSCAPITALGROUP.COM,Francisco Reyes,Francisco.Reyes@BRAZOSCAPITALGROUP.COM,289749
RICHARD BERNSTEIN ADVISORS LLC,120 WEST 45TH STREET 36TH FLOOR,,NEW YORK,NY,10036,2126924000,WWW.RBADVISORS.COM,Calvin Elliott,Calvin.Elliott@RBADVISORS.COM,153577
"WILMINGTON TRUST INVESTMENT ADVISORS, INC.",WILMINGTON TRUST CENTER,1100 NORTH MARKET STREET,WILMINGTON,DE,19890-0001,3026518118,WWW.WTIA.COM,Fred Adkison,Fred.Adkison@WTIA.COM,106909
"CTC MYCFO, LLC",2200 GENG ROAD,SUITE 100,PALO ALTO,CA,94303,6502105000,WWW.CTCMYCFO.COM,Gregory Rivard,Gregory.Rivard@CTCMYCFO.COM,110264
"DOUGHERTY & ASSOCIATES FINANCIAL ADVISORS, INC.",103 MARTY DRIVE,SUITE 101,BUFFALO,MN,55313,7636824014,WWW.THEDOUGH.COM/,Anthony Martinez,Anthony.Martinez@THEDOUGH.COM/,165145
GLOBAL INVESTMENT ADVISER LC,721 US HIGHWAY ONE,SUITE 117,NORTH PALM BEACH,FL,33408,5618819688,GLOBALINVESTMENTADVISER.COM,Doyle Anderson,Doyle.Anderson@GLOBALINVESTMENTADVISER.COM,105862
"ASSET CONSULTING GROUP, LLC",231 SOUTH BEMISTON AVENUE,14TH FLOOR,CLAYTON,MO,63105,3148624848,WWW.ACGNET.COM,Ross Hewitt,Ross.Hewitt@ACGNET.COM,107574
UBS REALTY INVESTORS LLC,10 STATE HOUSE SQUARE,15TH FLOOR,HARTFORD,CT,06103-3604,8606169000,WWW.UBS.COM/US/EN/REAL-ESTATE/REALTY.HTML,Salvador Lerma Rodriguez,Salvador.Lerma Rodriguez@UBS.COM/US/EN/REAL-ESTATE/REALTY.HTML,107758
INVESTMENT MANAGEMENT GROUP,402 N. BROADWAY,,BILLINGS,MT,59101,4066553960,WWW.STOCKMANBANK.COM,Clyde Estes,Clyde.Estes@STOCKMANBANK.COM,122166
"CONNECTICUT WEALTH MANAGEMENT, LLC",281 FARMINGTON AVENUE,,FARMINGTON,CT,06032-1911,8604700290,WWW.CTWEALTHMGMT.COM,Pedro Gomez,Pedro.Gomez@CTWEALTHMGMT.COM,154310
DOCK STREET CAPITAL MANAGEMENT LLC,575-B RIVERSIDE AVENUE,,WESTPORT,CT,06880,2124578262,WWW.DOCKSTREETCAP.COM,Michael Miskolci,Michael.Miskolci@DOCKSTREETCAP.COM,157155
"PATHLIGHT INVESTORS, LLC",3131 EAST CAMELBACK ROAD,SUITE 135,PHOENIX,AZ,85016,6027957600,WWW.PATHLIGHTINVESTORS.COM/,Darrell Cruz,Darrell.Cruz@PATHLIGHTINVESTORS.COM/,151479
NUMA,14 WALL ST 20TH FLOOR,,NEW YORK,NY,10005,2126181580,WWW.NUMA.WS,Steven Cheney,Steven.Cheney@NUMA.WS,164602
"ROSS, SINCLAIRE & ASSOCIATES, LLC",700 WALNUT STREET,STE 600,CINCINNATI,OH,45202-2027,5133813939,WWW.RSANET.COM,Jimmy Abegglen,Jimmy.Abegglen@RSANET.COM,25440
ASSET PLANNING SERVICES LTD.,162 MAIN STREET,,HARLEYSVILLE,PA,19438,2152564600,WWW.ASSETPLANNINGSERVICES.COM,Mitchell Businger,Mitchell.Businger@ASSETPLANNINGSERVICES.COM,105727
"STRATEGIC FAMILY WEALTH COUNSELORS, L.L.C.",100 PASSAIC AVENUE,,FAIRFIELD,NJ,07004,9735753444,WWW.STRATEGICFAMILYWEALTH.COM,Christopher Martinez,Christopher.Martinez@STRATEGICFAMILYWEALTH.COM,128199
"ASPEN GROVE CAPITAL, LLC",90 BENCHMARK ROAD,SUITE 201,AVON,CO,81620,9706884188,WWW.ASPENGROVELLC.COM,Brett Liby,Brett.Liby@ASPENGROVELLC.COM,158166
RGT WEALTH ADVISORS,"5950 SHERRY LANE, STE. 600",,DALLAS,TX,75225,2143607000,WWW.RGTADVISORS.COM,Jose Casillas,Jose.Casillas@RGTADVISORS.COM,104953
ABERNATHY GROUP II LLC,530 FIFTH AVENUE,24 FLOOR,NEW YORK,NY,10036,2122933499,WWW.PHYSICANFAMILYOFFICE.ORG,Jose Luevano Saucedo,Jose.Luevano Saucedo@PHYSICANFAMILYOFFICE.ORG,152401
"TELEMUS CAPITAL, LLC",TWO TOWNE SQUARE,SUITE 800,SOUTHFIELD,MI,48076,2488271800,WWW.TELEMUS.COM/,Daniel Caraveo,Daniel.Caraveo@TELEMUS.COM/,168794
STRATEGIES WEALTH ADVISORS,3333 GRAND RIDGE DRIVE NE,SUITE A,GRAND RAPIDS,MI,49525,6167195007,WWW.STRATEGIESWEALTH.COM,Jose Oliva-Bosquez,Jose.Oliva-Bosquez@STRATEGIESWEALTH.COM,289913
"TOWNELEY CAPITAL MANAGEMENT, INC.",23197 LA CADENA DRIVE,SUITE 103,LAGUNA HILLS,CA,92653,9498373580,WWW.TOWNELEY.COM,Jose Chavez,Jose.Chavez@TOWNELEY.COM,169863
FORTUNE PARTNERS GROUP LLC,1001 BRICKELL BAY DRIVE,SUITE 2402,MIAMI,FL,33131,3058314999,WWW.FORTUNEPARTNERSGROUP.COM/,Robert Trevino,Robert.Trevino@FORTUNEPARTNERSGROUP.COM/,269988
"J.E. SIMMONS & CO., P.C.",15770 N. DALLAS PARKWAY,SUITE 150,DALLAS,TX,75248,9724041040,WWW.JESIMMONS.COM,Vernon Jones,Vernon.Jones@JESIMMONS.COM,108789
"THE L. WARNER COMPANIES, INC",9690 DEERECO ROAD,SUITE 650,TIMONIUM,MD,21093,4102520808,WWW.LWARNER.COM,David Villalobos,David.Villalobos@LWARNER.COM,108001
"FRONTIER PARTNERS, INC.",400 SKOKIE BLVD.,SUITE 500,NORTHBROOK,IL,60062,8475099860,WWW.FRONTIERPARTNERS.COM/,Steven Ernst,Steven.Ernst@FRONTIERPARTNERS.COM/,155408
TRAYNOR CAPITAL MANAGEMENT,19 E. KING STREET,BLDG 2,MALVERN,PA,19355,6109939050,WWW.TRAYNORCAPITAL.COM,Joe Trujillo,Joe.Trujillo@TRAYNORCAPITAL.COM,138881
MILLENNIUM INVESTMENT SERVICES,16217 KITTRIDGE STREET,,VAN NUYS,CA,91406,8189025544,WWW.MINVS.COM,David Raymond Perez,David Raymond.Perez@MINVS.COM,108744
TINGEY ADVISORS INC,2101 EAST MURRAY-HOLLADAY ROAD,SUITE 200,SALT LAKE CITY,UT,84117,8013528166,WWW.TINGEYADVISORS.COM,Kenneth Martinez,Kenneth.Martinez@TINGEYADVISORS.COM,107539
"BEACON INVESTMENT MANAGEMENT, LLC",1 INDIA STREET,SUITE 205,BOSTON,MA,02109-3304,6173578306,WWW.BEACONINVESTMENTS.COM,Eusebio Ibarra,Eusebio.Ibarra@BEACONINVESTMENTS.COM,122639
"HECK CAPITAL ADVISORS, LLC",15 EAST ANDERSON STREET,,RHINELANDER,WI,54501,7153611500,WWW.HECKCAPITAL.COM,Benjamin Lucero,Benjamin.Lucero@HECKCAPITAL.COM,143848
"OAK HILL ADVISORS, L.P.",1114 AVENUE OF THE AMERICAS,27TH FLOOR,NEW YORK,NY,10036,2123261500,WWW.OAKHILLADVISORS.COM,Nelson Rojas,Nelson.Rojas@OAKHILLADVISORS.COM,125352
BELL INVESTMENT ADVISORS INC,1111 BROADWAY,SUITE 1630,OAKLAND,CA,94607-4007,5104331066,WWW.BELLINVEST.COM,Jorge Olivas,Jorge.Olivas@BELLINVEST.COM,108383
BITTERROOT CAPITAL ADVISORS LLC,118 EAST MAIN STREET,,BOZEMAN,MT,59715,4065568200,WWW.BITTERROOTCAPITAL.COM/,Fernando Olivas,Fernando.Olivas@BITTERROOTCAPITAL.COM/,109088
CORNERSTONE CAPITAL ADVISORS,1640 CORPORATE WOODS CIRCLE,,UNIONTOWN,OH,44685,3308966250,WWW.CCADVISORS.COM,Rod Thompson,Rod.Thompson@CCADVISORS.COM,107230
PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,650 NEWPORT CENTER DRIVE,,NEWPORT BEACH,CA,92660,9497206000,WWW.PIMCO.COM,Vickie Zabriskie,Vickie.Zabriskie@PIMCO.COM,104559
"CORNELL POCHILY INVESTMENT ADVISORS, INC.",2415 NORTH TRIPHAMMER ROAD,SUITE 1,ITHACA,NY,14850,6073917080,WWW.CORNELLPOCHILY.COM,Hector Meneses,Hector.Meneses@CORNELLPOCHILY.COM,145355
